resultId,raceId,driverId,grid,statusId,error_catagory,circuitId,turns,race_laps,full_throttle_percentage,driver_error_rate,constructor_error_rate,circuit_error_rate,label
236,29,3,9,1,Finished,12,25,57,0.63,0.004854369,0.131428571,0.0625,1
237,29,2,8,1,Finished,12,25,57,0.63,0.016949153,0.1,0.0625,1
238,29,7,10,1,Finished,12,25,57,0.63,0.037037037,0.181415929,0.0625,1
239,29,12,15,1,Finished,12,25,57,0.63,0.107142857,0.137096774,0.0625,0
240,29,17,14,11,Finished,12,25,57,0.63,0.010869565,0.130612245,0.0625,0
241,29,18,16,11,Finished,12,25,57,0.63,0.020661157,0.141509434,0.0625,0
242,29,21,18,11,Finished,12,25,57,0.63,0.056074766,0.086614173,0.0625,0
244,29,22,19,11,Finished,12,25,57,0.63,0.006896552,0.141509434,0.0625,0
245,29,14,17,11,Finished,12,25,57,0.63,0.011111111,0.130612245,0.0625,0
246,29,8,4,5,Constructor,12,25,57,0.63,0.00896861,0.072243346,0.0625,0
247,29,16,20,3,Track,12,25,57,0.63,0.0234375,0.086614173,0.0625,0
248,29,4,12,4,Track,12,25,57,0.63,0.011538462,0.137096774,0.0625,0
249,30,13,2,1,Finished,13,19,44,0.7,0.019685039,0.072243346,0.103571429,1
250,30,2,5,1,Finished,13,19,44,0.7,0.016949153,0.1,0.103571429,1
251,30,1,1,1,Finished,13,19,44,0.7,0.009615385,0.155893536,0.103571429,1
252,30,4,6,1,Finished,13,19,44,0.7,0.011538462,0.137096774,0.103571429,1
253,30,20,10,1,Finished,13,19,44,0.7,0.010050251,0.181415929,0.103571429,1
254,30,9,8,1,Finished,13,19,44,0.7,0.026315789,0.1,0.103571429,1
255,30,7,9,1,Finished,13,19,44,0.7,0.037037037,0.181415929,0.103571429,1
256,30,17,7,1,Finished,13,19,44,0.7,0.010869565,0.130612245,0.103571429,1
257,30,10,13,1,Finished,13,19,44,0.7,0.021505376,0.146226415,0.103571429,1
258,30,5,3,6,Constructor,13,19,44,0.7,0.017857143,0.155893536,0.103571429,1
259,30,14,14,11,Finished,13,19,44,0.7,0.011111111,0.130612245,0.103571429,0
260,30,3,15,11,Finished,13,19,44,0.7,0.004854369,0.131428571,0.103571429,0
