,constructorId,constructorRef,Constructor_name,nationality,constructor_url,raceId,points,year,round,circuitId,grand_prix_name,date,race_url
10892,170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,764,8.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10893,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,763,6.0,1959,8,14,Italian Grand Prix,1959-09-13,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
10894,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,763,0.0,1959,8,14,Italian Grand Prix,1959-09-13,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
10895,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,763,0.0,1959,8,14,Italian Grand Prix,1959-09-13,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
10896,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,763,0.0,1959,8,14,Italian Grand Prix,1959-09-13,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
10897,117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin,763,0.0,1959,8,14,Italian Grand Prix,1959-09-13,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
10898,167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,763,0.0,1959,8,14,Italian Grand Prix,1959-09-13,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
10899,170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,763,8.0,1959,8,14,Italian Grand Prix,1959-09-13,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
10881,170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,759,4.0,1959,4,55,French Grand Prix,1959-07-05,http://en.wikipedia.org/wiki/1959_French_Grand_Prix
10891,169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,764,0.0,1959,9,63,United States Grand Prix,1959-12-12,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
10880,167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,759,0.0,1959,4,55,French Grand Prix,1959-07-05,http://en.wikipedia.org/wiki/1959_French_Grand_Prix
10527,95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,758,0.0,1959,3,39,Dutch Grand Prix,1959-05-31,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
10878,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,759,0.0,1959,4,55,French Grand Prix,1959-07-05,http://en.wikipedia.org/wiki/1959_French_Grand_Prix
10584,167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,761,0.0,1959,6,61,German Grand Prix,1959-08-02,http://en.wikipedia.org/wiki/1959_German_Grand_Prix
10583,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,761,2.0,1959,6,61,German Grand Prix,1959-08-02,http://en.wikipedia.org/wiki/1959_German_Grand_Prix
10582,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,761,0.0,1959,6,61,German Grand Prix,1959-08-02,http://en.wikipedia.org/wiki/1959_German_Grand_Prix
10581,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,761,8.0,1959,6,61,German Grand Prix,1959-08-02,http://en.wikipedia.org/wiki/1959_German_Grand_Prix
10536,170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,756,8.0,1959,1,6,Monaco Grand Prix,1959-05-10,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
10535,167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,756,0.0,1959,1,6,Monaco Grand Prix,1959-05-10,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
10534,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,756,0.0,1959,1,6,Monaco Grand Prix,1959-05-10,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
10533,95,porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,756,0.0,1959,1,6,Monaco Grand Prix,1959-05-10,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
10532,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,756,0.0,1959,1,6,Monaco Grand Prix,1959-05-10,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
10531,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,756,0.0,1959,1,6,Monaco Grand Prix,1959-05-10,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
10530,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,756,6.0,1959,1,6,Monaco Grand Prix,1959-05-10,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
10529,170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,758,6.0,1959,3,39,Dutch Grand Prix,1959-05-31,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
10528,117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin,758,0.0,1959,3,39,Dutch Grand Prix,1959-05-31,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
10526,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,758,8.0,1959,3,39,Dutch Grand Prix,1959-05-31,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
10525,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,758,3.0,1959,3,39,Dutch Grand Prix,1959-05-31,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
10524,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,758,2.0,1959,3,39,Dutch Grand Prix,1959-05-31,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
10523,170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,762,8.0,1959,7,62,Portuguese Grand Prix,1959-08-23,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
10522,167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,762,0.0,1959,7,62,Portuguese Grand Prix,1959-08-23,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
10521,117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin,762,0.0,1959,7,62,Portuguese Grand Prix,1959-08-23,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
10520,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,762,2.0,1959,7,62,Portuguese Grand Prix,1959-08-23,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
10519,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,762,0.0,1959,7,62,Portuguese Grand Prix,1959-08-23,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
10518,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,762,4.0,1959,7,62,Portuguese Grand Prix,1959-08-23,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
10877,6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,759,8.0,1959,4,55,French Grand Prix,1959-07-05,http://en.wikipedia.org/wiki/1959_French_Grand_Prix
10879,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,759,0.0,1959,4,55,French Grand Prix,1959-07-05,http://en.wikipedia.org/wiki/1959_French_Grand_Prix
11140,121,elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor),757,0.0,1959,2,19,Indianapolis 500,1959-05-30,http://en.wikipedia.org/wiki/1959_Indianapolis_500
11141,122,sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor),757,0.0,1959,2,19,Indianapolis 500,1959-05-30,http://en.wikipedia.org/wiki/1959_Indianapolis_500
11089,123,fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team),760,0.0,1959,5,58,British Grand Prix,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
11083,32,team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus,760,0.0,1959,5,58,British Grand Prix,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
11090,167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,760,0.0,1959,5,58,British Grand Prix,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
11084,66,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,760,6.0,1959,5,58,British Grand Prix,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
11085,101,jbw,JBW,British,http://en.wikipedia.org/wiki/JBW,760,0.0,1959,5,58,British Grand Prix,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
11086,105,maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati,760,0.0,1959,5,58,British Grand Prix,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
11087,117,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin,760,0.0,1959,5,58,British Grand Prix,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
11088,118,vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall,760,0.0,1959,5,58,British Grand Prix,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
11092,170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,760,8.0,1959,5,58,British Grand Prix,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
11091,169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,760,0.0,1959,5,58,British Grand Prix,1959-07-18,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
11132,108,epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly,757,3.0,1959,2,19,Indianapolis 500,1959-05-30,http://en.wikipedia.org/wiki/1959_Indianapolis_500
11133,109,phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor),757,0.0,1959,2,19,Indianapolis 500,1959-05-30,http://en.wikipedia.org/wiki/1959_Indianapolis_500
11134,110,lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky,757,5.0,1959,2,19,Indianapolis 500,1959-05-30,http://en.wikipedia.org/wiki/1959_Indianapolis_500
