year,name,driverRef,Medium,Soft,Super Soft,Ultra soft,Hard
2017,Russian Grand Prix,massa,0,1,3,9,0
2017,Russian Grand Prix,stroll,0,1,3,9,0
2017,Russian Grand Prix,alonso,0,1,5,7,0
2017,Russian Grand Prix,vandoorne,0,1,5,7,0
2017,Russian Grand Prix,sainz,0,1,4,8,0
2017,Russian Grand Prix,kvyat,0,1,2,10,0
2017,Russian Grand Prix,grosjean,0,1,2,10,0
2017,Russian Grand Prix,magnussen,0,1,5,7,0
2017,Russian Grand Prix,hulkenberg,0,1,4,8,0
2017,Russian Grand Prix,palmer,0,1,5,7,0
2017,Russian Grand Prix,wehrlein,0,2,5,6,0
2017,Russian Grand Prix,ericsson,0,1,5,7,0
2017,Bahrain Grand Prix,hamilton,1,6,6,0,0
2017,Bahrain Grand Prix,bottas,3,3,7,0,0
2017,Bahrain Grand Prix,ricciardo,2,5,6,0,0
2017,Bahrain Grand Prix,verstappen,2,5,6,0,0
2017,Bahrain Grand Prix,vettel,3,4,6,0,0
2017,Bahrain Grand Prix,raikkonen,3,4,6,0,0
2017,Bahrain Grand Prix,perez,2,5,6,0,0
2017,Bahrain Grand Prix,ocon,2,5,6,0,0
2017,Bahrain Grand Prix,massa,3,3,7,0,0
2017,Bahrain Grand Prix,stroll,3,3,7,0,0
2017,Bahrain Grand Prix,alonso,3,5,5,0,0
2017,Bahrain Grand Prix,vandoorne,3,5,5,0,0
2017,Bahrain Grand Prix,sainz,2,6,5,0,0
2017,Bahrain Grand Prix,kvyat,1,7,5,0,0
2017,Bahrain Grand Prix,grosjean,2,4,7,0,0
2017,Bahrain Grand Prix,magnussen,1,5,7,0,0
2017,Bahrain Grand Prix,hulkenberg,2,5,6,0,0
2017,Bahrain Grand Prix,palmer,1,5,7,0,0
2017,Bahrain Grand Prix,wehrlein,4,5,4,0,0
2017,Bahrain Grand Prix,ericsson,3,4,6,0,0
2017,Australian Grand Prix,hamilton,0,1,6,6,0
2017,Australian Grand Prix,bottas,0,1,5,7,0
2017,Australian Grand Prix,ricciardo,0,2,4,7,0
2017,Australian Grand Prix,verstappen,0,2,4,7,0
2017,Australian Grand Prix,vettel,0,2,5,6,0
2017,Australian Grand Prix,raikkonen,0,2,5,6,0
2017,Australian Grand Prix,perez,0,2,5,6,0
2017,Australian Grand Prix,ocon,0,2,5,6,0
2017,Australian Grand Prix,massa,0,1,5,7,0
2017,Australian Grand Prix,stroll,0,1,5,7,0
2017,Australian Grand Prix,alonso,0,1,5,7,0
2017,Australian Grand Prix,vandoorne,0,1,5,7,0
2017,Australian Grand Prix,sainz,0,2,4,7,0
2017,Australian Grand Prix,kvyat,0,2,4,7,0
2017,Australian Grand Prix,grosjean,0,1,5,7,0
2017,Australian Grand Prix,magnussen,0,1,5,7,0
2017,Australian Grand Prix,hulkenberg,0,2,5,6,0
2017,Australian Grand Prix,palmer,0,1,5,7,0
2017,Australian Grand Prix,giovinazzi,0,4,4,5,0
2017,Australian Grand Prix,ericsson,0,1,6,6,0
2017,Abu Dhabi Grand Prix,hamilton,0,2,2,9,0
2017,Abu Dhabi Grand Prix,bottas,0,1,3,9,0
2017,Abu Dhabi Grand Prix,ricciardo,0,1,2,10,0
2017,Abu Dhabi Grand Prix,verstappen,0,1,3,9,0
2017,Abu Dhabi Grand Prix,vettel,0,1,2,10,0
2017,Abu Dhabi Grand Prix,raikkonen,0,1,2,10,0
2017,Abu Dhabi Grand Prix,perez,0,1,2,10,0
2017,Abu Dhabi Grand Prix,ocon,0,2,2,9,0
2017,Abu Dhabi Grand Prix,massa,0,1,2,10,0
2017,Abu Dhabi Grand Prix,stroll,0,2,1,10,0
2017,Abu Dhabi Grand Prix,alonso,0,1,2,10,0
2017,Abu Dhabi Grand Prix,vandoorne,0,1,2,10,0
2017,Abu Dhabi Grand Prix,hartley,0,1,3,9,0
2017,Abu Dhabi Grand Prix,gasly,0,1,3,9,0
2017,Abu Dhabi Grand Prix,grosjean,0,2,2,9,0
2017,Abu Dhabi Grand Prix,magnussen,0,2,2,9,0
2017,Abu Dhabi Grand Prix,hulkenberg,0,1,4,8,0
2017,Abu Dhabi Grand Prix,sainz,0,1,4,8,0
2017,Abu Dhabi Grand Prix,wehrlein,0,2,2,9,0
2017,Abu Dhabi Grand Prix,ericsson,0,1,2,10,0
2016,Brazilian Grand Prix,hamilton,4,8,0,0,1
2016,Brazilian Grand Prix,rosberg,4,8,0,0,1
2016,Brazilian Grand Prix,vettel,5,7,0,0,1
2016,Brazilian Grand Prix,raikkonen,4,7,0,0,2
2016,Brazilian Grand Prix,massa,3,9,0,0,1
2016,Brazilian Grand Prix,bottas,3,9,0,0,1
2016,Brazilian Grand Prix,ricciardo,5,7,0,0,1
2016,Brazilian Grand Prix,verstappen,5,7,0,0,1
2016,Brazilian Grand Prix,hulkenberg,3,8,0,0,2
2016,Brazilian Grand Prix,perez,3,8,0,0,2
2016,Brazilian Grand Prix,magnussen,4,8,0,0,1
2016,Brazilian Grand Prix,palmer,4,8,0,0,1
2016,Brazilian Grand Prix,kvyat,4,8,0,0,1
2016,Brazilian Grand Prix,sainz,4,8,0,0,1
2016,Brazilian Grand Prix,ericsson,5,7,0,0,1
2016,Brazilian Grand Prix,nasr,5,7,0,0,1
2016,Brazilian Grand Prix,alonso,4,8,0,0,1
2016,Brazilian Grand Prix,button,4,8,0,0,1
2016,Brazilian Grand Prix,wehrlein,4,8,0,0,1
2016,Brazilian Grand Prix,ocon,4,8,0,0,1
2016,Brazilian Grand Prix,grosjean,5,7,0,0,1
2016,Brazilian Grand Prix,gutierrez,4,7,0,0,2
2016,Mexican Grand Prix,hamilton,3,5,5,0,0
2016,Mexican Grand Prix,rosberg,4,4,5,0,0
2016,Mexican Grand Prix,vettel,3,4,6,0,0
2016,Mexican Grand Prix,raikkonen,2,5,6,0,0
2016,Mexican Grand Prix,massa,3,3,7,0,0
2016,Mexican Grand Prix,bottas,3,3,7,0,0
2016,Mexican Grand Prix,ricciardo,3,4,6,0,0
2016,Mexican Grand Prix,verstappen,3,4,6,0,0
2016,Mexican Grand Prix,hulkenberg,3,3,7,0,0
2016,Mexican Grand Prix,perez,3,3,7,0,0
2016,Mexican Grand Prix,magnussen,5,2,6,0,0
2016,Mexican Grand Prix,palmer,4,3,6,0,0
2016,Mexican Grand Prix,kvyat,2,3,8,0,0
