driverId,constructorId,year,circuitId,turns,lap_length,race_laps,race_distance,max_speed,drs_zone,full_throttle_percentage,longest_flatout_section,downforce_level,gear_changes_per_lap,prev_year_1_lap,prev_year_2_lap,prev_year_3_lap,prev_year_4_lap,fastestLapTime
3,3,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
14,9,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
6,3,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
18,11,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
16,10,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
21,10,2008,17,16,5.451,56,305.066,348,2,0.54,1397,3,51,111800,105400,97400,97600,159600
13,6,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
15,7,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
8,6,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
1,1,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
5,1,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
4,4,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
20,5,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
2,2,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
7,5,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
10,7,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
12,4,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
17,9,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
9,2,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
14,9,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
22,11,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
6,3,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
18,11,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
3,3,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
21,10,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
16,10,2008,18,15,4.309,71,305.909,310,2,0.5,1394,3,42,122700,76800,75800,84400,75900
18,23,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
22,23,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
20,9,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
9,2,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
3,3,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
10,7,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
13,6,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
15,7,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
8,6,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
17,9,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
2,2,2009,1,16,5.303,58,307.574,321.1,2,0.77,843,3,46,92000,90900,101400,93100,90500
