driverId,constructorId,circuitId,Did not finish,Podium,Pos 4 to 10,Accident / Collision,SC,Dry,Wet,pitStop timing (avg),pitStop timing prop(driver),grid,driver_error_rate,constructor_error_rate,circuit_error_rate,race_class
822,3,70,0,0.5,0.5,0,0.5,1,0,22492.5,0.059555327,7,0.010204082,0.131428571,0.023809524,2
822,3,9,0,0.33,0.33,0,1,0.67,0,29104,0.059555327,6,0.010204082,0.131428571,0.066225166,3
822,3,11,0.33,0,0.33,0,0.67,0.67,0,22600.5,0.059555327,10,0.010204082,0.131428571,0.043046358,2
822,3,13,0,0.33,0.33,0,0.33,1,0,23401.66667,0.059555327,8,0.010204082,0.131428571,0.103571429,2
822,3,14,0,0,0,0,0,1,0,25064,0.059555327,5,0.010204082,0.131428571,0.043046358,2
822,3,15,0,0,0.33,0,1,1,0,29059.5,0.059555327,10,0.010204082,0.131428571,0.114678899,0
822,3,2,0,0,0.67,0,0.33,0.67,0,24145.66667,0.059555327,11,0.010204082,0.131428571,0.036184211,2
822,3,22,0,0,0.67,0,0.33,0.67,0.33,24041,0.059555327,11,0.010204082,0.131428571,0.073359073,2
822,3,69,0.33,0,0.67,0,1,0.67,0,25227,0.059555327,8,0.010204082,0.131428571,0.047619048,3
822,3,32,0,1,0,0,1,1,0,23160,0.059555327,8,0.010204082,0.131428571,0.048387097,2
822,3,18,0.33,0,0.33,0.33,0,1,0,25023.66667,0.059555327,11,0.010204082,0.131428571,0.097643098,3
822,3,24,0,0.33,0,0,0,1,0,24347.5,0.059555327,11,0.010204082,0.131428571,0.045918367,0
822,131,1,0.33,0,0.67,0,1,1,0,11558.5,0.059385523,3,0.010204082,0.073717949,0.126245847,1
822,131,17,0,0,0.67,0,0.67,1,0,23322.66667,0.059385523,3,0.010204082,0.073717949,0.046357616,2
822,131,3,0,0,0.67,0,0.33,1,0,25571,0.059385523,1,0.010204082,0.073717949,0.028571429,1
822,131,71,0,0.33,0,0.33,0.67,1,0,0,0.059385523,3,0.010204082,0.073717949,0.108433735,1
822,131,4,0,0,0.67,0,0.33,1,0,22314.66667,0.059385523,3,0.010204082,0.073717949,0.069536424,0
822,131,6,0.33,0,0,0,1,0.67,0,24893.33333,0.059385523,3,0.010204082,0.073717949,0.160535117,2
822,131,7,0,0.67,0.33,0,0.67,1,0,24072,0.059385523,3,0.010204082,0.073717949,0.106382979,1
822,131,73,0,0,1,0,0,1,0,19732,0.059385523,2,0.010204082,0.073717949,0.024390244,1
822,131,70,0,0.33,0.67,0,0.67,1,0,22208,0.059385523,1,0.010204082,0.073717949,0.023809524,1
822,131,9,0,0.33,0.33,0,1,0.33,0,29193,0.059385523,9,0.010204082,0.073717949,0.066225166,1
822,131,11,0,0,0.67,0,0.67,0.67,0,21997,0.059385523,3,0.010204082,0.073717949,0.043046358,1
822,131,13,0,0.33,0.67,0,0.67,1,0,22994.33333,0.059385523,3,0.010204082,0.073717949,0.103571429,2
822,131,14,0,0,0.33,0,0,1,0,24808.66667,0.059385523,4,0.010204082,0.073717949,0.043046358,1
822,131,15,0.33,0,0.33,0,1,1,0,29059.5,0.059385523,6,0.010204082,0.073717949,0.114678899,1
822,131,2,0,0,1,0,0.67,1,0,24442.66667,0.059385523,5,0.010204082,0.073717949,0.036184211,2
822,131,22,0,0,0.67,0,0.33,0.67,0.33,24549,0.059385523,6,0.010204082,0.073717949,0.073359073,2
822,131,69,0.33,0,0.33,0,0.67,0.67,0,25296.33333,0.059385523,3,0.010204082,0.073717949,0.047619048,2
822,131,32,0,0.5,0.5,0,1,1,0,22778,0.059385523,4,0.010204082,0.073717949,0.048387097,1
822,131,18,0,0,0.33,0,0.33,0.67,0.33,25456.66667,0.059385523,1,0.010204082,0.073717949,0.097643098,1
822,131,24,0.33,0.33,0,0,0,1,0,11007.5,0.059385523,1,0.010204082,0.073717949,0.045918367,1
13,3,1,0.33,0,0,0.33,0.67,1,0,14523.66667,0.069876408,6,0.019685039,0.131428571,0.126245847,2
13,3,3,0,0,0.33,0,0.33,1,0,25783,0.069876408,7,0.019685039,0.131428571,0.028571429,2
13,3,17,0,0,0.67,0,0.33,1,0,22198.66667,0.069876408,10,0.019685039,0.131428571,0.046357616,2
13,3,71,0,0,0,0,0.5,1,0,0,0.069876408,4,0.019685039,0.131428571,0.108433735,2
13,3,4,0,0.33,0.33,0,0,1,0,21187.33333,0.069876408,18,0.019685039,0.131428571,0.069536424,2
13,3,6,0.33,0,0.33,0.33,1,1,0,24663.33333,0.069876408,14,0.019685039,0.131428571,0.160535117,2
13,3,7,0,0,0.67,0.33,0.33,1,0,22765.33333,0.069876408,8,0.019685039,0.131428571,0.106382979,0
13,3,70,0,0.5,0,0,0.5,1,0,22271.5,0.069876408,10,0.019685039,0.131428571,0.023809524,0
13,3,9,0.33,0,0.33,0.33,1,0.67,0,12436,0.069876408,12,0.019685039,0.131428571,0.066225166,3
13,3,11,0,0,0.67,0,0.67,0.67,0,21797.33333,0.069876408,18,0.019685039,0.131428571,0.043046358,3
13,3,13,0,0,0.67,0,0.33,1,0,23171,0.069876408,10,0.019685039,0.131428571,0.103571429,2
13,3,14,0,0.67,0,0,0,1,0,24740.66667,0.069876408,11,0.019685039,0.131428571,0.043046358,2
13,3,15,0.33,0,0.67,0,1,1,0,26710.5,0.069876408,11,0.019685039,0.131428571,0.114678899,3
13,3,2,0,0,1,0,0.33,0.67,0,24155.66667,0.069876408,10,0.019685039,0.131428571,0.036184211,3
13,3,22,0,0,0.33,0,0.33,0.67,0.33,22474,0.069876408,12,0.019685039,0.131428571,0.073359073,2
13,3,69,0.33,0,0,0,1,0.67,0,24739.33333,0.069876408,9,0.019685039,0.131428571,0.047619048,2
13,3,32,0,0,1,0,1,1,0,23086,0.069876408,9,0.019685039,0.131428571,0.048387097,2
13,3,18,0.33,0.33,0.33,0,0,1,0,24324.66667,0.069876408,13,0.019685039,0.131428571,0.097643098,0
13,3,24,0,0.33,0.67,0,0,1,0,22355,0.069876408,10,0.019685039,0.131428571,0.045918367,2
13,3,1,0.33,0,0.33,0.33,1,1,0,11031,0.055303369,7,0.019685039,0.131428571,0.126245847,2
13,3,17,0,0,0.67,0,0.67,1,0,23498.66667,0.055303369,6,0.019685039,0.131428571,0.046357616,3
13,3,3,0,0,0.67,0,0.33,1,0,24609.33333,0.055303369,8,0.019685039,0.131428571,0.028571429,2
13,3,71,0,0,0.33,0,0.67,1,0,0,0.055303369,6,0.019685039,0.131428571,0.108433735,2
13,3,4,0,0,0.67,0,0.33,1,0,22130.66667,0.055303369,9,0.019685039,0.131428571,0.069536424,3
13,3,6,0,0,0.33,0,1,0.67,0,24613.66667,0.055303369,14,0.019685039,0.131428571,0.160535117,2
13,3,7,0.33,0,0.33,0.33,0.67,1,0,23616.33333,0.055303369,7,0.019685039,0.131428571,0.106382979,0
13,3,73,0,0,0,0,0,1,0,19858,0.055303369,9,0.019685039,0.131428571,0.024390244,0
13,3,70,0,0.33,0,0,0.67,1,0,21924.66667,0.055303369,17,0.019685039,0.131428571,0.023809524,2
13,3,9,0.33,0,0,0.33,1,0.33,0,14673,0.055303369,14,0.019685039,0.131428571,0.066225166,2
13,3,13,0,0,0.33,0,0.67,1,0,23131.33333,0.055303369,16,0.019685039,0.131428571,0.103571429,2
13,3,14,0,0.67,0.33,0,0,1,0,24450.66667,0.055303369,7,0.019685039,0.131428571,0.043046358,2
13,3,15,0.33,0,0.33,0,1,1,0,26710.5,0.055303369,17,0.019685039,0.131428571,0.114678899,3
13,3,2,0,0,0.67,0,0.67,1,0,25091.66667,0.055303369,11,0.019685039,0.131428571,0.036184211,2
13,3,22,0,0,0.67,0,0.33,0.67,0.33,24021,0.055303369,8,0.019685039,0.131428571,0.073359073,2
13,3,69,0.33,0,0.33,0,0.67,0.67,0,24522,0.055303369,10,0.019685039,0.131428571,0.047619048,2
13,3,32,0,0,1,0,1,1,0,22474.5,0.055303369,10,0.019685039,0.131428571,0.048387097,3
13,3,18,0.67,0.33,0,0.33,0.33,0.67,0.33,25159.5,0.055303369,9,0.019685039,0.131428571,0.097643098,2
13,3,24,0,0.33,0.67,0,0,1,0,22096.33333,0.055303369,10,0.019685039,0.131428571,0.045918367,2
817,9,1,0.67,0,0.33,0,0.67,1,0,23046.33333,0.06242087,8,0.007751938,0.130612245,0.126245847,2
817,9,3,0,0,0.33,0,0.33,1,0,24127.33333,0.06242087,5,0.007751938,0.130612245,0.028571429,2
817,9,17,0,0,0.67,0,0.33,1,0,21919,0.06242087,2,0.007751938,0.130612245,0.046357616,2
817,9,71,0,0,0.5,0,0.5,1,0,0,0.06242087,5,0.007751938,0.130612245,0.108433735,3
